No.,Time,,Time 1,Time 2,Delay,Total Delay,Rata-Rata Delay,Delay 1,Delay 2,Jitter,Total Jitter,Rata - rata Jitter
1,0,,0,0.166375,0.166375,589.460471,0.01001547,0.16604,0.000335,-0.165705,589.461141,0.010015481
2,0.166375,,0.166375,0.16671,0.000335,,,0.000178,0.000157,-2.1E-05,,
3,0.16671,,0.16671,0.166867,0.000157,,,-0.027135,0.027292,0.054427,,
4,0.166867,,0.166867,0.194159,0.027292,,,-0.030986,0.058278,0.089264,,
5,0.194159,,0.194159,0.252437,0.058278,,,0.058188,9E-05,-0.058098,,
6,0.252437,,0.252437,0.252527,9E-05,,,-0.395191,0.395281,0.790472,,
7,0.252527,,0.252527,0.647808,0.395281,,,-0.594592,0.989873,1.584465,,
8,0.647808,,0.647808,1.637681,0.989873,,,-0.034755,1.024628,1.059383,,
9,1.637681,,1.637681,2.662309,1.024628,,,0.001024,1.023604,1.02258,,
10,2.662309,,2.662309,3.685913,1.023604,,,0.101843,0.921761,0.819918,,
11,3.685913,,3.685913,4.607674,0.921761,,,-0.102392,1.024153,1.126545,,
12,4.607674,,4.607674,5.631827,1.024153,,,0.812914,0.211239,-0.601675,,
13,5.631827,,5.631827,5.843066,0.211239,,,0.179224,0.032015,-0.147209,,
14,5.843066,,5.843066,5.875081,0.032015,,,0.014587,0.017428,0.002841,,
15,5.875081,,5.875081,5.892509,0.017428,,,0.016416,0.001012,-0.015404,,
16,5.892509,,5.892509,5.893521,0.001012,,,-0.348892,0.349904,0.698796,,
17,5.893521,,5.893521,6.243425,0.349904,,,0.349807,9.7E-05,-0.34971,,
18,6.243425,,6.243425,6.243522,9.7E-05,,,-0.000942,0.001039,0.001981,,
19,6.243522,,6.243522,6.244561,0.001039,,,-0.177748,0.178787,0.356535,,
20,6.244561,,6.244561,6.423348,0.178787,,,0.144257,0.03453,-0.109727,,
21,6.423348,,6.423348,6.457878,0.03453,,,0.00146,0.03307,0.03161,,
22,6.457878,,6.457878,6.490948,0.03307,,,0.03307,0,-0.03307,,
23,6.490948,,6.490948,6.490948,0,,,-8.5E-05,8.5E-05,0.00017,,
24,6.490948,,6.490948,6.491033,8.5E-05,,,-0.006241,0.006326,0.012567,,
25,6.491033,,6.491033,6.497359,0.006326,,,0.00036,0.005966,0.005606,,
26,6.497359,,6.497359,6.503325,0.005966,,,0.005966,0,-0.005966,,
27,6.503325,,6.503325,6.503325,0,,,0,0,0,,
28,6.503325,,6.503325,6.503325,0,,,0,0,0,,
29,6.503325,,6.503325,6.503325,0,,,-8.5E-05,8.5E-05,0.00017,,
30,6.503325,,6.503325,6.50341,8.5E-05,,,-0.001289,0.001374,0.002663,,
31,6.50341,,6.50341,6.504784,0.001374,,,-0.010588,0.011962,0.02255,,
32,6.504784,,6.504784,6.516746,0.011962,,,-0.068913,0.080875,0.149788,,
33,6.516746,,6.516746,6.597621,0.080875,,,0.080797,7.8E-05,-0.080719,,
34,6.597621,,6.597621,6.597699,7.8E-05,,,-0.000479,0.000557,0.001036,,
35,6.597699,,6.597699,6.598256,0.000557,,,-0.056384,0.056941,0.113325,,
36,6.598256,,6.598256,6.655197,0.056941,,,0.026381,0.03056,0.004179,,
37,6.655197,,6.655197,6.685757,0.03056,,,0.03056,0,-0.03056,,
38,6.685757,,6.685757,6.685757,0,,,-6.5E-05,6.5E-05,0.00013,,
39,6.685757,,6.685757,6.685822,6.5E-05,,,-0.017345,0.01741,0.034755,,
40,6.685822,,6.685822,6.703232,0.01741,,,0.01741,0,-0.01741,,
41,6.703232,,6.703232,6.703232,0,,,0,0,0,,
42,6.703232,,6.703232,6.703232,0,,,-8.4E-05,8.4E-05,0.000168,,
43,6.703232,,6.703232,6.703316,8.4E-05,,,-0.005633,0.005717,0.01135,,
44,6.703316,,6.703316,6.709033,0.005717,,,-0.040265,0.045982,0.086247,,
45,6.709033,,6.709033,6.755015,0.045982,,,0.018451,0.027531,0.00908,,
46,6.755015,,6.755015,6.782546,0.027531,,,0.027472,5.9E-05,-0.027413,,
47,6.782546,,6.782546,6.782605,5.9E-05,,,-0.001378,0.001437,0.002815,,
48,6.782605,,6.782605,6.784042,0.001437,,,0.001219,0.000218,-0.001001,,
49,6.784042,,6.784042,6.78426,0.000218,,,-0.022779,0.022997,0.045776,,
50,6.78426,,6.78426,6.807257,0.022997,,,0.017302,0.005695,-0.011607,,
51,6.807257,,6.807257,6.812952,0.005695,,,0.002733,0.002962,0.000229,,
52,6.812952,,6.812952,6.815914,0.002962,,,-0.083527,0.086489,0.170016,,
53,6.815914,,6.815914,6.902403,0.086489,,,-0.073647,0.160136,0.233783,,
54,6.902403,,6.902403,7.062539,0.160136,,,0.160051,8.5E-05,-0.159966,,
55,7.062539,,7.062539,7.062624,8.5E-05,,,-0.000111,0.000196,0.000307,,
56,7.062624,,7.062624,7.06282,0.000196,,,0.000154,4.2E-05,-0.000112,,
57,7.06282,,7.06282,7.062862,4.2E-05,,,-0.001645,0.001687,0.003332,,
58,7.062862,,7.062862,7.064549,0.001687,,,0.001687,0,-0.001687,,
59,7.064549,,7.064549,7.064549,0,,,0,0,0,,
60,7.064549,,7.064549,7.064549,0,,,0,0,0,,
61,7.064549,,7.064549,7.064549,0,,,-7.2E-05,7.2E-05,0.000144,,
62,7.064549,,7.064549,7.064621,7.2E-05,,,-0.305365,0.305437,0.610802,,
63,7.064621,,7.064621,7.370058,0.305437,,,0.305437,0,-0.305437,,
64,7.370058,,7.370058,7.370058,0,,,-0.000314,0.000314,0.000628,,
65,7.370058,,7.370058,7.370372,0.000314,,,0.000244,7E-05,-0.000174,,
66,7.370372,,7.370372,7.370442,7E-05,,,-0.001914,0.001984,0.003898,,
67,7.370442,,7.370442,7.372426,0.001984,,,0.001868,0.000116,-0.001752,,
68,7.372426,,7.372426,7.372542,0.000116,,,-0.307845,0.307961,0.615806,,
69,7.372542,,7.372542,7.680503,0.307961,,,0.307961,0,-0.307961,,
70,7.680503,,7.680503,7.680503,0,,,-0.00032,0.00032,0.00064,,
71,7.680503,,7.680503,7.680823,0.00032,,,0.000254,6.6E-05,-0.000188,,
72,7.680823,,7.680823,7.680889,6.6E-05,,,-0.132556,0.132622,0.265178,,
73,7.680889,,7.680889,7.813511,0.132622,,,0.098641,0.033981,-0.06466,,
74,7.813511,,7.813511,7.847492,0.033981,,,0.033877,0.000104,-0.033773,,
75,7.847492,,7.847492,7.847596,0.000104,,,-0.00023,0.000334,0.000564,,
76,7.847596,,7.847596,7.84793,0.000334,,,-0.035953,0.036287,0.07224,,
77,7.84793,,7.84793,7.884217,0.036287,,,0.036287,0,-0.036287,,
78,7.884217,,7.884217,7.884217,0,,,0,0,0,,
79,7.884217,,7.884217,7.884217,0,,,0,0,0,,
80,7.884217,,7.884217,7.884217,0,,,-0.000121,0.000121,0.000242,,
81,7.884217,,7.884217,7.884338,0.000121,,,-0.015402,0.015523,0.030925,,
82,7.884338,,7.884338,7.899861,0.015523,,,0.008479,0.007044,-0.001435,,
83,7.899861,,7.899861,7.906905,0.007044,,,-0.042129,0.049173,0.091302,,
84,7.906905,,7.906905,7.956078,0.049173,,,0.04798,0.001193,-0.046787,,
85,7.956078,,7.956078,7.957271,0.001193,,,0.00106,0.000133,-0.000927,,
86,7.957271,,7.957271,7.957404,0.000133,,,-0.044779,0.044912,0.089691,,
87,7.957404,,7.957404,8.002316,0.044912,,,0.044912,0,-0.044912,,
88,8.002316,,8.002316,8.002316,0,,,-0.000432,0.000432,0.000864,,
89,8.002316,,8.002316,8.002748,0.000432,,,-0.288599,0.289031,0.57763,,
90,8.002748,,8.002748,8.291779,0.289031,,,0.289031,0,-0.289031,,
91,8.291779,,8.291779,8.291779,0,,,-7.5E-05,7.5E-05,0.00015,,
92,8.291779,,8.291779,8.291854,7.5E-05,,,-0.000505,0.00058,0.001085,,
93,8.291854,,8.291854,8.292434,0.00058,,,0.00058,0,-0.00058,,
94,8.292434,,8.292434,8.292434,0,,,-2.8E-05,2.8E-05,5.6E-05,,
95,8.292434,,8.292434,8.292462,2.8E-05,,,-0.001463,0.001491,0.002954,,
96,8.292462,,8.292462,8.293953,0.001491,,,0.001491,0,-0.001491,,
97,8.293953,,8.293953,8.293953,0,,,0,0,0,,
98,8.293953,,8.293953,8.293953,0,,,0,0,0,,
99,8.293953,,8.293953,8.293953,0,,,-0.000167,0.000167,0.000334,,
100,8.293953,,8.293953,8.29412,0.000167,,,-0.000463,0.00063,0.001093,,
101,8.29412,,8.29412,8.29475,0.00063,,,0.00063,0,-0.00063,,
102,8.29475,,8.29475,8.29475,0,,,0,0,0,,
103,8.29475,,8.29475,8.29475,0,,,0,0,0,,
104,8.29475,,8.29475,8.29475,0,,,0,0,0,,
105,8.29475,,8.29475,8.29475,0,,,-7.1E-05,7.1E-05,0.000142,,
106,8.29475,,8.29475,8.294821,7.1E-05,,,-0.000493,0.000564,0.001057,,
107,8.294821,,8.294821,8.295385,0.000564,,,0.000505,5.9E-05,-0.000446,,
108,8.295385,,8.295385,8.295444,5.9E-05,,,-0.001099,0.001158,0.002257,,
109,8.295444,,8.295444,8.296602,0.001158,,,0.001158,0,-0.001158,,
110,8.296602,,8.296602,8.296602,0,,,-4.7E-05,4.7E-05,9.4E-05,,
111,8.296602,,8.296602,8.296649,4.7E-05,,,-0.021028,0.021075,0.042103,,
112,8.296649,,8.296649,8.317724,0.021075,,,0.018406,0.002669,-0.015737,,
113,8.317724,,8.317724,8.320393,0.002669,,,-0.089215,0.091884,0.181099,,
114,8.320393,,8.320393,8.412277,0.091884,,,0.091884,0,-0.091884,,
115,8.412277,,8.412277,8.412277,0,,,-7.6E-05,7.6E-05,0.000152,,
116,8.412277,,8.412277,8.412353,7.6E-05,,,-0.000386,0.000462,0.000848,,
117,8.412353,,8.412353,8.412815,0.000462,,,0.000462,0,-0.000462,,
118,8.412815,,8.412815,8.412815,0,,,-6.3E-05,6.3E-05,0.000126,,
119,8.412815,,8.412815,8.412878,6.3E-05,,,-0.000895,0.000958,0.001853,,
120,8.412878,,8.412878,8.413836,0.000958,,,0.000958,0,-0.000958,,
121,8.413836,,8.413836,8.413836,0,,,0,0,0,,
122,8.413836,,8.413836,8.413836,0,,,0,0,0,,
123,8.413836,,8.413836,8.413836,0,,,-0.000105,0.000105,0.00021,,
124,8.413836,,8.413836,8.413941,0.000105,,,-0.000981,0.001086,0.002067,,
